state name,state code,district,confirmed,active,deceased,recovered,delta_confirmed,delta_deceased,delta_recovered,notes
State Unassigned,UN,Unassigned,814,814,0,0,814,0,0,
Andaman and Nicobar Islands,AN,Nicobars,0,0,0,0,0,0,0,
Andaman and Nicobar Islands,AN,North and Middle Andaman,1,0,0,1,0,0,0,
Andaman and Nicobar Islands,AN,South Andaman,32,0,0,32,0,0,0,
Andhra Pradesh,AP,Anantapur,122,45,4,73,0,0,0,
Andhra Pradesh,AP,Chittoor,192,110,0,82,0,0,0,
Andhra Pradesh,AP,East Godavari,57,14,0,43,0,0,0,
Andhra Pradesh,AP,Guntur,417,94,8,315,0,0,0,
Andhra Pradesh,AP,Krishna,382,104,15,263,0,0,0,
Andhra Pradesh,AP,Kurnool,615,163,19,433,0,0,0,
Andhra Pradesh,AP,Other State,150,125,0,25,0,0,0,
Andhra Pradesh,AP,Prakasam,66,3,0,63,0,0,0,
Andhra Pradesh,AP,S.P.S. Nellore,157,60,3,94,0,0,0,
Andhra Pradesh,AP,Srikakulam,14,10,0,4,0,0,0,
Andhra Pradesh,AP,Visakhapatnam,76,38,1,37,0,0,0,
Andhra Pradesh,AP,Vizianagaram,8,8,0,0,0,0,0,
Andhra Pradesh,AP,West Godavari,72,21,0,51,0,0,0,
Andhra Pradesh,AP,Y.S.R. Kadapa,104,35,0,69,0,0,0,
Arunachal Pradesh,AR,Anjaw,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Changlang,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,East Kameng,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,East Siang,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Kamle,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Kra Daadi,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Kurung Kumey,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Lepa Rada,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Lohit,1,0,0,1,0,0,0,
Arunachal Pradesh,AR,Longding,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Lower Dibang Valley,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Lower Siang,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Lower Subansiri,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Namsai,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Pakke Kessang,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Papum Pare,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Shi Yomi,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Siang,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Tawang,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Tirap,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Upper Dibang Valley,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Upper Siang,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,Upper Subansiri,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,West Kameng,0,0,0,0,0,0,0,
Arunachal Pradesh,AR,West Siang,0,0,0,0,0,0,0,
Assam,AS,Baksa,0,0,0,0,0,0,0,
Assam,AS,Barpeta,0,0,0,0,0,0,0,
Assam,AS,Biswanath,0,0,0,0,0,0,0,
Assam,AS,Bongaigaon,5,0,0,5,0,0,0,
Assam,AS,Cachar,14,12,0,2,0,0,0,
Assam,AS,Charaideo,0,0,0,0,0,0,0,
Assam,AS,Chirang,0,0,0,0,0,0,0,
Assam,AS,Darrang,0,0,0,0,0,0,0,
Assam,AS,Dhemaji,0,0,0,0,0,0,0,
Assam,AS,Dhubri,5,0,0,5,0,0,0,
Assam,AS,Dibrugarh,0,0,0,0,0,0,0,
Assam,AS,Dima Hasao,0,0,0,0,0,0,0,
Assam,AS,Goalpara,6,2,0,4,0,0,0,
Assam,AS,Golaghat,13,4,0,9,0,0,0,
Assam,AS,Hailakandi,1,0,1,0,0,0,0,
Assam,AS,Hojai,0,0,0,0,0,0,0,
Assam,AS,Jorhat,6,6,0,0,0,0,0,
Assam,AS,Kamrup,2,1,0,1,0,0,0,
Assam,AS,Kamrup Metropolitan,46,43,2,1,0,0,0,
Assam,AS,Karbi Anglong,0,0,0,0,0,0,0,
Assam,AS,Karimganj,2,1,0,1,0,0,0,
Assam,AS,Kokrajhar,1,1,0,0,0,0,0,
Assam,AS,Lakhimpur,1,0,0,1,0,0,0,
Assam,AS,Majuli,0,0,0,0,0,0,0,
Assam,AS,Morigaon,6,0,0,6,0,0,0,
Assam,AS,Nagaon,0,0,0,0,0,0,0,
Assam,AS,Nalbari,4,0,0,4,0,0,0,
Assam,AS,Other State,1,0,0,1,0,0,0,
Assam,AS,Sivasagar,1,1,0,0,0,0,0,
Assam,AS,Sonitpur,1,1,0,0,0,0,0,
Assam,AS,South Salmara Mankachar,1,0,0,1,0,0,0,
Assam,AS,Tinsukia,0,0,0,0,0,0,0,
Assam,AS,Udalguri,0,0,0,0,0,0,0,
Assam,AS,West Karbi Anglong,0,0,0,0,0,0,0,
Assam,AS,Unknown,0,-2,1,1,0,0,0,
Bihar,BR,Araria,4,3,0,1,0,0,0,
Bihar,BR,Arwal,17,13,0,4,0,0,0,
Bihar,BR,Aurangabad,22,10,0,12,0,0,0,
Bihar,BR,Banka,40,40,0,0,0,0,0,
Bihar,BR,Begusarai,70,57,0,13,0,0,0,
Bihar,BR,Bhagalpur,42,34,0,8,0,0,0,
Bihar,BR,Bhojpur,39,21,0,18,0,0,0,
Bihar,BR,Buxar,63,7,0,56,1,0,0,
Bihar,BR,Darbhanga,16,11,0,5,0,0,0,
Bihar,BR,East Champaran,19,9,1,9,0,0,0,
Bihar,BR,Gaya,11,5,0,6,3,0,0,
Bihar,BR,Gopalganj,63,45,0,18,0,0,0,
Bihar,BR,Jamui,14,14,0,0,0,0,0,
Bihar,BR,Jehanabad,28,23,0,5,1,0,0,
Bihar,BR,Kaimur,38,6,0,32,2,0,0,
Bihar,BR,Katihar,21,21,0,0,0,0,0,
Bihar,BR,Khagaria,55,54,1,0,0,0,0,
Bihar,BR,Kishanganj,14,14,0,0,0,0,0,
Bihar,BR,Lakhisarai,14,9,0,5,0,0,0,
Bihar,BR,Madhepura,20,18,0,2,2,0,0,
Bihar,BR,Madhubani,73,68,0,5,0,0,0,
Bihar,BR,Munger,133,42,1,90,0,0,0,
Bihar,BR,Muzaffarpur,30,30,0,0,0,0,0,
Bihar,BR,Nalanda,74,37,0,37,0,0,0,
Bihar,BR,Nawada,39,35,0,4,3,0,0,
Bihar,BR,Patna,166,122,2,42,1,0,0,
Bihar,BR,Purnia,31,31,0,0,0,0,0,
Bihar,BR,Rohtas,91,45,1,45,0,0,0,
Bihar,BR,Saharsa,19,19,0,0,0,0,0,
Bihar,BR,Samastipur,16,16,0,0,1,0,0,
Bihar,BR,Saran,14,6,0,8,0,0,0,
Bihar,BR,Sheikhpura,23,23,0,0,2,0,0,
Bihar,BR,Sheohar,5,5,0,0,0,0,0,
Bihar,BR,Sitamarhi,9,5,1,3,0,0,0,
Bihar,BR,Siwan,45,13,0,32,0,0,0,
Bihar,BR,Supaul,24,24,0,0,3,0,0,
Bihar,BR,Vaishali,15,11,2,2,0,0,0,
Bihar,BR,West Champaran,25,14,0,11,0,0,0,
Chandigarh,CH,Chandigarh,196,139,3,54,0,0,0,
Chhattisgarh,CT,Balod,11,11,0,0,0,0,0,
Chhattisgarh,CT,Baloda Bazar,6,6,0,0,0,0,0,
Chhattisgarh,CT,Balrampur,0,0,0,0,0,0,0,
Chhattisgarh,CT,Bametara,0,0,0,0,0,0,0,
Chhattisgarh,CT,Bastar,0,0,0,0,0,0,0,
Chhattisgarh,CT,Bijapur,0,0,0,0,0,0,0,
Chhattisgarh,CT,Bilaspur,1,0,0,1,0,0,0,
Chhattisgarh,CT,Dakshin Bastar Dantewada,0,0,0,0,0,0,0,
Chhattisgarh,CT,Dhamtari,0,0,0,0,0,0,0,
Chhattisgarh,CT,Durg,10,0,0,10,0,0,0,
Chhattisgarh,CT,Gariaband,1,1,0,0,0,0,0,
Chhattisgarh,CT,Janjgir Champa,11,11,0,0,0,0,0,
Chhattisgarh,CT,Jashpur,0,0,0,0,0,0,0,
Chhattisgarh,CT,Kabeerdham,8,2,0,6,0,0,0,
Chhattisgarh,CT,Kondagaon,0,0,0,0,0,0,0,
Chhattisgarh,CT,Korba,28,0,0,28,0,0,0,
Chhattisgarh,CT,Koriya,1,1,0,0,0,0,0,
Chhattisgarh,CT,Mahasamund,0,0,0,0,0,0,0,
Chhattisgarh,CT,Mungeli,0,0,0,0,0,0,0,
Chhattisgarh,CT,Narayanpur,0,0,0,0,0,0,0,
Chhattisgarh,CT,Raigarh,2,2,0,0,0,0,0,
Chhattisgarh,CT,Raipur,7,0,0,7,0,0,0,
Chhattisgarh,CT,Rajnandgaon,1,0,0,1,0,0,0,
Chhattisgarh,CT,Sukma,0,0,0,0,0,0,0,
Chhattisgarh,CT,Surajpur,7,1,0,6,0,0,0,
Chhattisgarh,CT,Surguja,1,1,0,0,0,0,0,
Chhattisgarh,CT,Uttar Bastar Kanker,0,0,0,0,0,0,0,
Delhi,DL,Central Delhi,184,184,0,0,0,0,0,
Delhi,DL,East Delhi,38,38,0,0,0,0,0,
Delhi,DL,New Delhi,37,37,0,0,0,0,0,
Delhi,DL,North Delhi,60,60,0,0,0,0,0,
Delhi,DL,North East Delhi,25,25,0,0,0,0,0,
Delhi,DL,North West Delhi,32,31,1,0,0,0,0,
Delhi,DL,Shahdara,48,48,0,0,0,0,0,
Delhi,DL,South Delhi,70,70,0,0,0,0,0,
Delhi,DL,South East Delhi,130,130,0,0,0,0,0,
Delhi,DL,South West Delhi,42,42,0,0,0,0,0,
Delhi,DL,West Delhi,122,122,0,0,0,0,0,
Delhi,DL,Unknown,9266,4622,159,4485,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,DN,Dadra and Nagar Haveli,1,0,0,1,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,DN,Daman,0,0,0,0,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,DN,Diu,0,0,0,0,0,0,0,
Goa,GA,North Goa,6,0,0,6,0,0,0,
Goa,GA,South Goa,18,17,0,1,0,0,0,
Goa,GA,Unknown,14,14,0,0,0,0,0,
Gujarat,GJ,Other State,1,1,0,0,0,0,0,
Gujarat,GJ,Ahmedabad,8683,5287,555,2841,0,0,0,
Gujarat,GJ,Amreli,2,2,0,0,0,0,0,
